1	58	198
31	25	196
5	96	194
43	82	192
9	28	190
11	59	188
13	44	186
15	100	184
121	18	182
19	61	180
21	58	178
161	10	176
25	3	174
27	10	172
29	59	170
3	35	168
33	80	166
35	90	164
37	41	162
39	37	160
41	12	158
7	20	156
45	75	154
47	70	152
49	11	150
51	37	148
53	92	146
191	17	144
57	57	142
59	61	140
61	78	138
63	24	136
65	2	134
67	89	132
69	53	130
71	41	128
73	28	126
75	11	124
77	22	122
79	66	120
81	25	118
83	61	116
85	27	114
87	19	112
89	28	110
91	19	108
93	74	106
95	99	104
97	1	102
99	45	100
101	63	98
103	97	96
105	17	94
107	38	92
109	12	90
111	31	88
113	75	86
115	79	84
117	47	82
119	39	80
17	22	78
123	95	76
125	50	74
127	61	72
129	68	70
131	67	68
133	38	66
135	20	64
137	22	62
139	94	60
141	91	58
143	56	56
145	10	54
147	29	52
149	18	50
151	93	48
153	15	46
155	24	44
157	40	42
159	61	40
23	50	38
163	16	36
165	55	34
167	4	32
169	85	30
171	45	28
173	35	26
175	97	24
177	56	22
179	18	20
181	10	18
183	85	16
185	94	14
187	34	12
189	75	10
55	80	8
193	81	6
195	61	4
197	58	2
199	38	0
